Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2016,2,32,LAL,Ivica Zubac,C,,137,14.5,6.8,4.5,0.8,0.3,0.7,.538,.000,.758,5.1,.123
2016,2,33,LAC,Cheick Diallo,F,University of Kansas,130,12.3,5.4,4.5,0.4,0.3,0.5,.580,.000,.747,4.7,.141
2016,2,34,PHO,Tyler Ulis,G,University of Kentucky,133,20.9,7.5,1.7,4.0,0.9,0.1,.403,.280,.808,0.5,.008
2016,2,35,BOS,Rade Zagorac,G-F,,,,,,,,,,,,,
2016,2,36,MIL,Malcolm Brogdon,G,University of Virginia,187,28.1,12.8,3.5,3.6,0.9,0.2,.484,.408,.895,13.5,.123
2016,2,37,HOU,Chinanu Onuaku,F-C,University of Louisville,6,12.3,3.0,2.3,0.7,0.5,0.2,.583,,1.000,0.1,.043
2016,2,38,MIL,Patrick McCaw,G,"University of Nevada, Las Vegas",157,15.5,3.7,1.5,1.2,0.6,0.2,.420,.299,.791,2.8,.056
2016,2,39,NOP,David Michineau,G,,,,,,,,,,,,,
2016,2,40,NOP,Diamond Stone,C,University of Maryland,7,3.4,1.4,0.9,0.0,0.0,0.1,.231,,1.000,-0.1,-0.211
2016,2,41,ORL,Stephen Zimmerman,C,"University of Nevada, Las Vegas",19,5.7,1.2,1.8,0.2,0.1,0.3,.323,,.600,0.0,-0.005
2016,2,42,UTA,Isaiah Whitehead,G,Seton Hall University,89,20.5,7.2,2.4,2.4,0.6,0.4,.411,.305,.788,-0.9,-0.025
2016,2,43,HOU,Zhou Qi,F-C,,19,6.6,1.3,1.2,0.1,0.1,0.7,.212,.105,.667,-0.2,-0.093
2016,2,44,ATL,Isaia Cordinier,G,,,,,,,,,,,,,
2016,2,45,BOS,Demetrius Jackson,G,University of Notre Dame,26,5.2,1.8,0.7,0.7,0.3,0.0,.486,.286,.667,0.2,.087
2016,2,46,DAL,A.J. Hammons,C,Purdue University,22,7.4,2.2,1.6,0.2,0.0,0.6,.405,.500,.450,0.0,-0.001
2016,2,47,ORL,Jake Layman,F,University of Maryland,137,12.0,4.5,1.8,0.5,0.3,0.3,.457,.295,.721,2.7,.078
2016,2,48,CHI,Paul Zipser,G-F,,98,17.0,4.7,2.6,0.8,0.4,0.3,.371,.335,.769,0.0,-0.001
